size,price
4705,905800
562,120700
1284,278900
1533,336200
1757,403300
1093,253000
580,218500
3550,726200
4862,979300
1048,283500
1834,340000
2778,625100
4674,989900
3624,767400
3948,919000
3115,641900
2377,628400
1399,318500
4390,864100
4119,877300
612,118600
3720,756400
879,245700
3826,843000
4217,862300
1089,317200
2452,598300
1057,333200
3053,687100
4674,1053000
863,128600
2289,491900
4880,982600
1854,426800
1095,240400
2699,581500
2788,701700
3483,738100
1912,453100
4801,998600
2845,622800
1789,408100
4822,1036800
4662,1040700
2746,681600
611,187700
3186,716700
2998,592100
1167,279000
3353,767600
4284,950100
976,255800
3755,845300
1131,300700
3870,884000
2386,541700
529,138000
4849,1036600
1247,152900
3182,705500
1316,130800
4699,903600
3823,837200
4120,897900
2444,480700
2603,535000
3354,789300
4032,832200
4312,1024500
580,165900
3486,767600
991,329000
1795,415600
4233,846500
1627,369900
4086,865400
2583,498400
1547,346600
2004,413700
2888,673800
3943,840300
3227,681300
4700,984700
4405,942200
3890,858800
3214,642800
1804,358700
2356,576400
1035,236400
2184,416000
4670,1006200
2416,556400
1011,175700
3434,748300
4832,1053200
4404,949500
1733,428200
2542,488200
2890,644600
1615,357900
1709,367700
1565,406500
4976,1119200
3857,911100
4284,972500
4175,879500
4817,1031000
973,282900
4468,949700
799,216300
2639,619000
3175,682000
2110,435500
1157,260700
1365,354700
4211,892300
1934,453800
1896,462700
4656,962500
1147,317200
4619,992700
4645,917300
3194,760900
1245,274000
1201,207400
1781,353900
3098,618500
1191,290800
2550,546300
1019,237000
2931,667200
595,186000
3691,804000
749,220300
1376,356000
1286,201800
4240,879800
740,89000
2432,538200
3160,681800
2822,666700
3563,822000
4114,882900
2271,479200
4227,919700
1931,409800
4930,1035900
2770,653300
3812,784500
4438,977900
4067,897300
4330,868300
2914,681500
695,223900
2719,598900
1316,275100
4501,907200
1565,336100
1526,382300
1622,326600
3392,750300
3071,602100
4770,993800
2373,530100
1770,526300
721,125300
531,229800
2181,493700
4667,1004000
2857,627300
4521,976400
957,233700
920,306700
4251,877400
980,302600
733,164400
2318,510600
4662,928800
3602,793200
946,311500
4267,899500
4296,899400
4103,814900
4562,950900
1579,286200
4909,986200
1943,449900
4109,937800
3107,811900
4008,822300
3325,786800
3391,740400
3273,697000
4006,872800
3826,818300
1105,276500
4218,873200
2912,562500
1954,363600
2814,645500
4852,1006600
4359,892000
4252,900800
2583,606300
4029,864800
2233,463800
3588,828900
3378,804600
1624,399500
1699,438500
775,267100
1129,332300
2451,570900
2650,609900
1243,324600
2376,470300
3219,728800
1546,291400
2022,414700
2154,546000
2773,646600
2149,554200
3816,799600
1974,387200
2452,528400
2207,496500
1323,318500
3586,823900
1559,343700
1836,434800
4068,814200
4770,1026500
3519,754000
4624,937300
4344,907000
2664,573600
3967,829900
1977,534000
2572,559500
2909,619600
4823,909700
4319,869100
2702,577200
3437,703100
1410,401100
4120,865800
2989,712200
2897,632500
3949,841700
3348,715200
826,215400
1796,495100
1295,193000
3807,711300
658,154400
1411,332900
3189,722300
3627,799100
2765,583800
4374,975800
4636,1028700
1094,278000
4787,1055500
3265,716600
3363,694500
928,270500
3299,715300
3766,803300
3114,746400
880,103500
2855,550100
4712,933000
3756,783000
1118,260900
4820,938600
4815,963700
1262,259400
4104,993700
2330,606100
3172,663800
2503,532400
4022,796900
4985,951600
4078,859800
4692,938500
4758,997400
905,151000
1640,339900
3749,807200
3155,699300
725,215900
927,169400
2842,661100
3273,664600
1254,332400
1270,303500
1082,197600
3042,642600
535,175300
3076,695800
2642,571400
2597,646000
3557,811800
2852,607600
3775,842500
3938,934300
4641,1076200
4097,808000
2830,569700
2715,667200
1560,309100
3198,623500
1126,250900
4691,1009200
4303,905500
1038,225100
4037,823700
1027,219800
3746,755200
894,342900
2697,604300
3461,786500
3780,781500
2384,517500
4648,943900
3985,714400
1437,268500
3521,663700
3788,695100
2001,390400
3822,880600
4543,956400
4177,949900
3932,856900
3355,760100
1717,348400
4079,892000
2139,514200
2895,600200
1915,461000
1908,459900
1209,264300
4826,959100
1165,223800
888,231900
4713,1009000
2998,610000
2471,545500
3819,842300
2225,525900
1075,342600
3784,870600
1292,258300
2989,732000
4771,977700
4713,1044800
2123,478000
4012,831800
3257,611000
2657,572800
1129,197800
2193,537000
3434,812600
4940,998200
522,169500
3730,759700
4309,880400
4781,1044900
2407,529500
1033,343600
1719,369700
4328,965600
4451,945100
3367,763200
1052,238000
1048,257100
2652,574600
3147,637600
645,212100
3588,800100
2950,669700
555,237800
930,308500
2544,540100
3752,819100
4215,861800
2441,539400
1829,385800
4858,1102600
2563,580800
1919,422900
2490,607700
554,52300
1858,320900
2820,653800
4633,979600
3822,826900
4016,786900
2952,639200
997,349600
2259,543000
4987,1055900
698,167600
4457,921700
3580,659500
1777,418300
4001,892500
4266,824400
694,155700
978,187700
3496,700900
4996,1051900
607,67200
3496,779900
1114,310500
3426,722600
3305,587000
907,181600
3563,824200
4537,818500
4386,909800
630,117000
1606,411400
1583,332800
2540,578200
1143,306900
4345,1010800
3996,839100
4138,896400
1392,254100
565,222500
4598,931600
1800,382000
3453,739500
4593,890500
662,193800
524,203200
524,169400
1203,211200
732,190200
4190,925100
3227,601500
4911,978500
4107,915200
4835,1030500
1573,385200
1795,502000
4323,938000
1602,403300
757,336900
3511,741500
4105,831100
4857,1042800
4676,1007100
1041,231900
3975,793400
4308,1027100
3642,794700
4189,851200
4271,950000
2509,546300
680,173400
2553,588700
1408,267000
1011,269800
1062,358000
3638,800900
2770,585200
2929,610400
3854,800300
2967,630700
3335,698100
887,273200
4330,829300
2519,596900
1198,270600
4160,900800
3806,754900
738,264000
1368,385900
570,212000
1718,317900
950,281500
3695,809200
2852,540100
4911,1031000
3873,842800
3252,728200
2792,617300
745,213600
815,286700
3274,766100
519,30000
690,172100
1486,339000
4479,858200
2565,567700
3693,851000
2352,466100
1279,322600
2170,438200
912,198800
3966,917100
1326,288100
2194,511900
4911,938600
3164,775900
2563,592700
2944,629700
4029,884600
1645,308500
3364,781900
4427,919200
3076,655000
2509,527200
1153,251600
1617,408100
4758,1014400
2936,669800
1856,420800
2383,552300
3101,649300
2919,745300
3649,701400
1658,444600
3422,802800
2492,505800
4733,1108100
1210,341800
1168,332200
2577,566800
2788,596700
3609,761300
2318,533100
4612,1042500
2634,585900
1082,220800
1036,298400
4881,1072300
1103,303300
4766,1040500
1751,386700
920,187600
1871,380800
3266,621400
2425,546800
4035,852800
3250,678000
2303,362800
3356,658800
4872,1080400
2353,487400
1190,306000
2339,448300
4281,978100
1479,338600
4772,1018900
3147,795700
3207,767200
1927,420100
4642,948700
662,166100
1844,444300
2383,521300
2648,559800
2634,650200
1165,277300
1515,468000
928,240100
3076,754500
2079,483700
3046,707300
3154,644600
3659,739100
2962,665400
3416,782600
3142,680400
3436,672900
3275,637000
1923,363200
1608,283200
4044,864300
2042,514700
2971,643500
1386,214200
2441,528700
2884,618700
3317,818200
2869,550900
2123,455100
4828,1100900
2807,633900
